UserID,CourseID,CourseName,CourseCategory,CourseLevel,CourseRating,TransactionDate,Amount
U00001,CR00034,Data Encryption,Cybersecurity,Intermediate,1.35,2025-11-02,394.26
U00002,CR00004,Advanced Python,Programming,Beginner,2.88,2025-07-15,0.0
U00003,CR00018,Social Media Marketing,Marketing,Advanced,2.01,2025-11-16,0.0
U00003,CR00046,AI for Beginners,Artificial Intelligence,Beginner,1.2,2025-11-04,248.1
U00003,CR00016,Digital Marketing,Marketing,Intermediate,4.72,2025-10-25,0.0
U00003,CR00042,Investment Strategies,Finance,Intermediate,4.1,2025-08-24,0.0
U00003,CR00040,Leadership in Projects,Project Management,Beginner,1.51,2025-05-07,327.99
U00003,CR00005,Full Stack Development,Programming,Beginner,1.28,2025-04-14,0.0
U00003,CR00019,Content Marketing,Marketing,Advanced,2.98,2025-03-28,0.0
U00003,CR00051,HTML & CSS,Web Development,Advanced,1.3,2025-03-20,37.89
U00003,CR00017,SEO Mastery,Marketing,Advanced,4.79,2025-03-05,0.0
U00003,CR00058,Social Media Strategy,Digital Marketing,Beginner,4.44,2025-03-02,0.0
U00003,CR00037,Scrum Essentials,Project Management,Intermediate,3.45,2025-01-13,0.0
U00004,CR00056,Google Ads Mastery,Digital Marketing,Advanced,3.15,2025-11-23,212.39
U00004,CR00042,Investment Strategies,Finance,Intermediate,4.1,2025-10-30,0.0
U00004,CR00030,Reinforcement Learning,Machine Learning,Intermediate,1.73,2025-09-21,0.0
U00004,CR00038,Risk Management,Project Management,Intermediate,4.84,2025-08-21,342.61
U00004,CR00060,Content Creation,Digital Marketing,Beginner,2.14,2025-08-10,0.0
U00004,CR00021,Data Analysis with Python,Data Science,Intermediate,3.6,2025-08-06,0.0
U00004,CR00048,AI Ethics,Artificial Intelligence,Beginner,3.64,2025-06-02,0.0
U00004,CR00016,Digital Marketing,Marketing,Intermediate,4.72,2025-05-12,0.0
U00004,CR00017,SEO Mastery,Marketing,Advanced,4.79,2025-05-09,0.0
U00004,CR00025,Statistical Analysis,Data Science,Beginner,3.74,2025-05-07,299.57
U00004,CR00051,HTML & CSS,Web Development,Advanced,1.3,2025-02-17,37.89
U00004,CR00058,Social Media Strategy,Digital Marketing,Beginner,4.44,2025-01-07,0.0
U00004,CR00047,Natural Language Processing,Artificial Intelligence,Intermediate,2.68,2025-01-06,89.59
U00005,CR00004,Advanced Python,Programming,Beginner,2.88,2025-12-03,0.0
U00005,CR00039,Project Planning,Project Management,Advanced,1.23,2025-09-11,346.71
U00006,CR00028,Deep Learning,Machine Learning,Advanced,3.89,2025-11-19,0.78
U00007,CR00031,Network Security,Cybersecurity,Intermediate,1.91,2025-03-08,0.0
U00008,CR00042,Investment Strategies,Finance,Intermediate,4.1,2025-07-30,0.0
U00009,CR00006,Graphic Design Basics,Design,Advanced,2.72,2025-06-19,276.37
U00010,CR00011,Entrepreneurship 101,Business,Intermediate,2.69,2025-10-01,326.02
U00010,CR00048,AI Ethics,Artificial Intelligence,Beginner,3.64,2025-08-02,0.0
