UserID,total_enrollments,num_categories,avg_course_per_category,enrollment_span_days,enrollment_frequency,preferred_category,preferred_level,avg_course_rating_enrolled,avg_spend,pct_paid,recency_days,beginner_share,intermediate_share,advanced_share,cat_share_Artificial_Intelligence,cat_share_Business,cat_share_Cybersecurity,cat_share_Data_Science,cat_share_Design,cat_share_Digital_Marketing,cat_share_Finance,cat_share_Machine_Learning,cat_share_Marketing,cat_share_Programming,cat_share_Project_Management,cat_share_Web_Development,Age,Gender,cluster,cluster_name,viz_x,viz_y
U00001,1,1,1.0,0,1.0,Cybersecurity,Intermediate,1.35,394.26,1.0,59,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,Male,3,Intermediate Value Seekers,-0.3342630921276427,1.1771869442476366
U00002,1,1,1.0,0,1.0,Programming,Beginner,2.88,0.0,0.0,169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,Female,4,Beginner Explorers,-1.5765312663033137,0.22106065787780674
U00003,11,7,1.5714285714285714,307,1.0749185667752443,Marketing,Beginner/Advanced,2.8890909090909087,55.81636363636364,0.2727272727272727,45,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.09090909090909091,33,Female,2,Power Learners,2.9991501642414238,-0.9653079187428908
U00004,13,8,1.625,321,1.2149532710280375,Digital Marketing,Intermediate,3.4515384615384614,75.54230769230769,0.38461538461538464,38,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,23,Female,2,Power Learners,3.3540877396022886,-0.6982238267974811
U00005,2,2,1.0,83,0.7228915662650602,Programming/Project Management,Beginner/Advanced,2.0549999999999997,173.355,0.5,28,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,21,Male,2,Power Learners,1.2140321632144757,1.211448344624378
U00006,1,1,1.0,0,1.0,Machine Learning,Advanced,3.89,0.78,1.0,42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,Male,1,Advanced Single-Shot Learners,-0.9683493155482634,-0.23571706843940113
U00007,1,1,1.0,0,1.0,Cybersecurity,Intermediate,1.91,0.0,0.0,298,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,Male,3,Intermediate Value Seekers,-2.332971169313198,-1.0689409428954944
U00008,1,1,1.0,0,1.0,Finance,Intermediate,4.1,0.0,0.0,154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33,Female,3,Intermediate Value Seekers,-1.8074231164444838,-1.1469569865932283
U00009,1,1,1.0,0,1.0,Design,Advanced,2.72,276.37,1.0,195,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Female,1,Advanced Single-Shot Learners,-0.7339165729484146,1.0701587753408395
U00010,2,2,1.0,60,1.0,Artificial Intelligence/Business,Beginner/Intermediate,3.165,163.01,0.5,91,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,Female,0,Premium Explorers,1.069092517599748,1.5691766086209253
U00011,2,2,1.0,180,0.3333333333333333,Web Development/Data Science,Beginner/Advanced,3.205,149.785,0.5,98,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,15,Female,2,Power Learners,1.0005823461497303,0.7485435371443421
U00012,2,2,1.0,6,2.0,Design/Project Management,Beginner/Advanced,1.5150000000000001,163.995,0.5,108,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15,Female,1,Advanced Single-Shot Learners,0.6404491373324969,1.1221972876010056
U00013,14,8,1.75,336,1.25,Machine Learning,Beginner/Advanced,2.869285714285715,102.3092857142857,0.35714285714285715,9,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.0,0.21428571428571427,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,33,Female,2,Power Learners,3.524828917840427,-0.6583596771798325
U00014,1,1,1.0,0,1.0,Machine Learning,Advanced,1.81,0.0,0.0,264,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30,Male,1,Advanced Single-Shot Learners,-2.1192989439134613,-1.2156081448208897
U00015,14,10,1.4,340,1.2352941176470587,Finance/Artificial Intelligence/Project Management/Digital Marketing,Beginner,2.7607142857142857,145.36142857142858,0.5,9,0.5,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,27,Female,2,Power Learners,3.865680617492805,-0.20196414996402864
U00016,1,1,1.0,0,1.0,Marketing,Advanced,4.79,0.0,0.0,95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32,Male,1,Advanced Single-Shot Learners,-1.6218899485602833,-2.4414017860381922
U00017,3,3,1.0,297,0.30303030303030304,Programming/Artificial Intelligence/Digital Marketing,Beginner,4.6499999999999995,321.06,0.6666666666666666,35,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,24,Male,2,Power Learners,1.947804215060818,1.1589371546866094
U00018,16,9,1.7777777777777777,335,1.4328358208955225,Artificial Intelligence/Machine Learning,Beginner,3.1081250000000002,91.751875,0.375,18,0.4375,0.3125,0.25,0.1875,0.0,0.125,0.125,0.0625,0.0625,0.125,0.1875,0.0,0.0625,0.0625,0.0,24,Female,2,Power Learners,3.7266288849565106,-0.5939612294579358
U00019,1,1,1.0,0,1.0,Design,Beginner,4.51,0.0,0.0,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,Female,4,Beginner Explorers,-1.361684818432793,-0.9128992053096872
U00020,1,1,1.0,0,1.0,Programming,Beginner,2.88,0.0,0.0,167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,Female,4,Beginner Explorers,-1.5672782509989234,0.22176205281799988
U00021,2,2,1.0,30,2.0,Digital Marketing/Cybersecurity,Advanced,3.135,88.67,0.5,237,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,15,Male,1,Advanced Single-Shot Learners,0.23317761506671825,0.09414458755432431
U00022,1,1,1.0,0,1.0,Project Management,Beginner,4.68,0.0,0.0,225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31,Male,4,Beginner Explorers,-1.7590881998718817,0.8064027560639333
U00023,1,1,1.0,0,1.0,Design,Beginner,4.51,0.0,0.0,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,Male,4,Beginner Explorers,-1.8889235288118706,-0.7072670217553517
U00024,1,1,1.0,0,1.0,Cybersecurity,Intermediate,3.93,0.0,0.0,95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Female,3,Intermediate Value Seekers,-1.6823044862467904,-1.5807874794091092
U00025,4,4,1.0,226,0.5309734513274337,Finance/Machine Learning/Marketing/Programming,Advanced,2.6050000000000004,29.76,0.25,135,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,34,Male,2,Power Learners,1.3128733684070701,-0.9641608455071029
U00026,1,1,1.0,0,1.0,Project Management,Beginner,1.51,327.99,1.0,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19,Male,4,Beginner Explorers,0.058786620919906954,3.414089344056173
